Traceback (most recent call last):
  File "./combine_obs_2min.py", line 3, in <module>
    from letkfobsio import *
ModuleNotFoundError: No module named 'letkfobsio'
2013:07:13 05-40-00 -> 2013:07:13 05-40-00
2013:07:13 05-38-30 -> 2013:07:13 05-40-00
2013:07:13 05-39-00 -> 2013:07:13 05-40-00
2013:07:13 05-39-30 -> 2013:07:13 05-40-00
2013:07:13 05-40-00 -> 2013:07:13 05-40-00
2013:07:13 05-40-30 -> 2013:07:13 05-41-00
2013:07:13 05-41-00 -> 2013:07:13 05-41-00
2013:07:13 05-41-30 -> 2013:07:13 05-42-00
2013:07:13 05-42-00 -> 2013:07:13 05-42-00
2013:07:13 05-40-30 -> 2013:07:13 05-42-00
2013:07:13 05-41-00 -> 2013:07:13 05-42-00
2013:07:13 05-41-30 -> 2013:07:13 05-42-00
2013:07:13 05-42-00 -> 2013:07:13 05-42-00
2013:07:13 05-42-30 -> 2013:07:13 05-43-00
2013:07:13 05-43-00 -> 2013:07:13 05-43-00
2013:07:13 05-43-30 -> 2013:07:13 05-44-00
2013:07:13 05-44-00 -> 2013:07:13 05-44-00
2013:07:13 05-42-30 -> 2013:07:13 05-44-00
2013:07:13 05-43-00 -> 2013:07:13 05-44-00
2013:07:13 05-43-30 -> 2013:07:13 05-44-00
2013:07:13 05-44-00 -> 2013:07:13 05-44-00
2013:07:13 05-44-30 -> 2013:07:13 05-45-00
2013:07:13 05-45-00 -> 2013:07:13 05-45-00
2013:07:13 05-45-30 -> 2013:07:13 05-46-00
2013:07:13 05-46-00 -> 2013:07:13 05-46-00
2013:07:13 05-44-30 -> 2013:07:13 05-46-00
2013:07:13 05-45-00 -> 2013:07:13 05-46-00
2013:07:13 05-45-30 -> 2013:07:13 05-46-00
2013:07:13 05-46-00 -> 2013:07:13 05-46-00
2013:07:13 05-46-30 -> 2013:07:13 05-47-00
2013:07:13 05-47-00 -> 2013:07:13 05-47-00
2013:07:13 05-47-30 -> 2013:07:13 05-48-00
2013:07:13 05-48-00 -> 2013:07:13 05-48-00
2013:07:13 05-46-30 -> 2013:07:13 05-48-00
2013:07:13 05-47-00 -> 2013:07:13 05-48-00
2013:07:13 05-47-30 -> 2013:07:13 05-48-00
2013:07:13 05-48-00 -> 2013:07:13 05-48-00
2013:07:13 05-48-30 -> 2013:07:13 05-49-00
2013:07:13 05-49-00 -> 2013:07:13 05-49-00
